,price(USD)
1276,2563.3340124914967
1277,2483.086449001057
1278,2563.3340124914967
1279,2490.3816820456423
1280,2490.3816820456423
1281,2490.3816820456423
1282,2490.3816820456423
1283,2490.3816820456423
1284,2490.3816820456423
1285,2490.3816820456423
1286,2490.3816820456423
1287,2490.3816820456423
1288,2490.3816820456423
1289,2490.3816820456423
1290,2450.257900300422
1291,2563.3340124914967
1292,2490.3816820456423
1293,2490.3816820456423
1294,2636.286342937351
1295,2490.3816820456423
1296,3146.9526560583326
1297,3146.9526560583326
1298,2563.3340124914967
1299,2563.3340124914967
1300,2636.286342937351
1301,9961.728400461969
1302,3307.209207072924
1303,9961.728400461969
1304,3307.209207072924
1305,3307.209207072924
1306,9961.728400461969
1307,3307.209207072924
1308,3307.209207072924
1309,3307.209207072924
1310,3307.209207072924
1311,9961.728400461969
1312,9961.728400461969
1313,9961.728400461969
1314,9961.728400461969
1315,3307.209207072924
1316,9961.728400461969
1317,3307.209207072924
1318,3307.209207072924
1319,9961.728400461969
1320,9961.728400461969
